sample,lithology,lithology_key,angle_deg,regime,mean_stress_offset_MPa,total_U_MJ_m3,WT_MJ_m3,WT_pct,WS_MJ_m3,WS_pct,MT_MJ_m3,MT_pct,MS_MJ_m3,MS_pct,below_threshold_MJ_m3,below_threshold_pct,weak_plane_pct,matrix_pct,tensile_pct,shear_pct,mixed_flag_pct,T_m_MPa,c_m_MPa,phi_m_deg,status,reason
1,Augen gneiss,augen_gneiss,0,Thrust,-0.5,305.40023793921387,0.0,0.0,0.0,0.0,19.147162716944642,6.269531041018916,156.53763101846198,51.25655175475628,129.7154442038073,42.47391720422482,0.0,57.526082795775196,6.269531041018916,51.25655175475628,17.92685084794365,10.47,15.220000000000002,37.89,computed,
1,Augen gneiss,augen_gneiss,0,Strike-Slip,0.0,305.40023793921387,0.0,0.0,0.0,0.0,34.73800642193003,11.374583941497846,150.73546696320358,49.35669598044177,119.92676455408032,39.268720078060404,0.0,60.73127992193962,11.374583941497846,49.35669598044177,21.132262692526606,10.47,15.220000000000002,37.89,computed,
1,Augen gneiss,augen_gneiss,0,Extensional,0.5,305.40023793921387,0.0,0.0,0.0,0.0,46.96930588942618,15.379590469990019,148.8538616113267,48.74058468839641,109.57707043846102,35.87982484161357,0.0,64.12017515838643,15.379590469990019,48.74058468839641,24.48008243696944,10.47,15.220000000000002,37.89,computed,
2,Augen gneiss,augen_gneiss,15,Thrust,-0.5,264.1271429342815,0.0,0.0,3.0397560110138193,1.1508684708599421,0.0,0.0,165.17956429389244,62.53789839955654,95.9078226293752,36.311233129583506,1.1508684708599421,62.53789839955654,0.0,63.68876687041648,12.150773157445725,10.026,14.1,36.73,computed,
2,Augen gneiss,augen_gneiss,15,Strike-Slip,0.0,264.1271429342815,0.0,0.0,3.753935777577468,1.4212608881744122,0.0,0.0,173.56856230137083,65.71401953359906,86.80464485533317,32.86471957822653,1.4212608881744122,65.71401953359906,0.0,67.13528042177347,16.73510094877853,10.026,14.1,36.73,computed,
2,Augen gneiss,augen_gneiss,15,Extensional,0.5,264.1271429342815,0.0,0.0,4.274865318127784,1.6184876990061674,10.793724101568538,4.08656375927792,168.23648031965283,63.69526374709335,80.82207319493233,30.599684794622558,1.6184876990061674,67.78182750637127,4.08656375927792,65.31375144609952,20.616043196728178,10.026,14.1,36.73,computed,
3,Augen gneiss,augen_gneiss,30,Thrust,-0.5,214.88448263285696,0.0,0.0,12.15672901157679,5.65733219198861,0.0,0.0,166.6774027746892,77.56604885214887,36.05035084659095,16.776618955862503,5.65733219198861,77.56604885214887,0.0,83.22338104413748,3.8859577249748845,9.794,11.31,33.06,computed,
3,Augen gneiss,augen_gneiss,30,Strike-Slip,0.0,214.88448263285696,0.0,0.0,12.360792476943786,5.752296455050662,0.0,0.0,169.4550648550655,78.85867922096062,33.06862530084768,15.389024323988723,5.752296455050662,78.85867922096062,0.0,84.6109756760113,3.8977572953986566,9.794,11.31,33.06,computed,
3,Augen gneiss,augen_gneiss,30,Extensional,0.5,214.88448263285696,0.0,0.0,12.52072667495154,5.826724443543908,0.0,0.0,171.9974948975938,80.04184052296688,30.366261060311587,14.13143503348921,5.826724443543908,80.04184052296688,0.0,85.86856496651079,3.9557232465545864,9.794,11.31,33.06,computed,
4,Augen gneiss,augen_gneiss,45,Thrust,-0.5,151.6016221875458,0.0,0.0,12.375992426938378,8.163496042033168,0.0,0.0,100.42265978498104,66.24115120664642,38.8029699756264,25.595352751320426,8.163496042033168,66.24115120664642,0.0,74.4046472486796,8.553056992384848,9.1475,11.68,34.95,computed,
